"Ημ/νία","Τελευταία","Άνοιγμα","Υψηλό","Χαμηλό","Όγκος","Αλλ.%"
"21.02.2025","134,43","140,04","141,46","134,03","228,22M","-4,05%"
"24.02.2025","130,28","136,56","138,59","130,08","251,38M","-3,09%"
"25.02.2025","126,63","129,98","130,20","124,44","271,43M","-2,80%"
"26.02.2025","131,28","129,99","133,73","128,49","322,55M","3,67%"
"27.02.2025","120,15","135,00","135,01","120,01","443,18M","-8,48%"
"28.02.2025","124,92","118,02","125,09","116,40","389,09M","3,97%"
"03.03.2025","114,06","123,51","123,70","112,28","411,38M","-8,69%"
"04.03.2025","115,99","110,64","119,31","110,11","398,16M","1,69%"
"05.03.2025","117,30","117,58","118,28","114,51","284,34M","1,13%"
"06.03.2025","110,57","113,53","115,35","110,22","321,18M","-5,74%"
"07.03.2025","112,69","111,25","113,48","107,56","341,76M","1,92%"
"10.03.2025","106,98","109,90","111,85","105,46","366,49M","-5,07%"
"11.03.2025","108,76","106,99","112,24","104,77","354,87M","1,66%"
"12.03.2025","115,74","114,12","116,76","112,88","323,86M","6,42%"
"13.03.2025","115,58","117,03","117,76","113,79","299,03M","-0,14%"
"14.03.2025","121,67","118,61","121,88","118,15","277,59M","5,27%"
"17.03.2025","119,53","122,74","122,89","118,03","255,50M","-1,76%"
"18.03.2025","115,43","118,00","119,02","114,54","299,69M","-3,43%"
"19.03.2025","117,52","117,27","120,44","115,68","273,43M","1,81%"
"20.03.2025","118,53","116,55","120,20","116,47","248,83M","0,86%"
"21.03.2025","117,70","116,94","117,99","115,42","266,50M","-0,70%"
"24.03.2025","121,41","119,88","122,22","119,34","228,45M","3,15%"
"25.03.2025","120,69","120,54","121,29","118,92","167,45M","-0,59%"
"26.03.2025","113,76","118,73","118,84","112,71","296,43M","-5,74%"
"27.03.2025","111,43","111,35","114,45","110,66","236,90M","-2,05%"
"28.03.2025","109,67","111,49","112,87","109,07","229,87M","-1,58%"
"31.03.2025","108,38","105,13","110,96","103,65","299,21M","-1,18%"
"01.04.2025","110,15","108,51","110,20","106,47","222,61M","1,63%"
"02.04.2025","110,42","107,29","111,98","106,79","220,60M","0,25%"
"03.04.2025","101,80","103,51","105,63","101,60","338,77M","-7,81%"
"04.04.2025","94,31","98,91","100,13","92,11","532,27M","-7,36%"
"07.04.2025","97,64","87,46","101,75","86,62","611,04M","3,53%"
"08.04.2025","96,30","103,81","105,85","94,46","476,24M","-1,37%"
"09.04.2025","114,33","98,89","115,10","97,53","612,92M","18,72%"
"10.04.2025","107,57","109,37","110,86","99,15","437,81M","-5,91%"
"11.04.2025","110,93","108,50","111,55","107,48","313,42M","3,12%"
"14.04.2025","110,71","114,11","114,29","109,07","264,71M","-0,20%"
"15.04.2025","112,20","110,97","113,61","110,50","228,97M","1,35%"
"16.04.2025","104,49","104,55","106,79","100,45","397,02M","-6,87%"
"17.04.2025","101,49","104,45","104,47","100,05","292,52M","-2,87%"
"21.04.2025","96,91","98,77","99,44","95,04","288,50M","-4,51%"
"22.04.2025","98,89","98,78","99,81","97,28","241,00M","2,04%"
"23.04.2025","102,71","104,52","104,80","102,02","247,53M","3,86%"
"24.04.2025","106,43","103,47","106,54","103,11","220,82M","3,62%"
"25.04.2025","111,01","106,85","111,92","105,73","251,06M","4,30%"
"28.04.2025","108,73","109,69","110,37","106,02","207,71M","-2,05%"
"29.04.2025","109,02","107,67","110,20","107,44","170,44M","0,27%"
"30.04.2025","108,92","104,47","108,92","104,08","235,04M","-0,09%"
"01.05.2025","111,61","113,08","114,94","111,30","236,12M","2,47%"
