"Ημ/νία","Τελευταία","Άνοιγμα","Υψηλό","Χαμηλό","Όγκος","Αλλ.%"
"30.01.2025","400,28","410,78","412,50","384,41","98,09M","2,87%"
"31.01.2025","404,60","401,53","419,99","401,34","83,57M","1,08%"
"03.02.2025","383,68","386,68","389,17","374,36","93,73M","-5,17%"
"04.02.2025","392,21","382,63","394,00","381,40","57,07M","2,22%"
"05.02.2025","378,17","387,51","388,39","375,53","57,61M","-3,58%"
"06.02.2025","374,32","373,03","375,40","363,18","77,92M","-1,02%"
"07.02.2025","361,62","370,19","380,55","360,34","70,30M","-3,39%"
"10.02.2025","350,73","356,21","362,70","350,51","77,51M","-3,01%"
"11.02.2025","328,50","345,80","349,37","325,10","118,54M","-6,34%"
"12.02.2025","336,51","329,94","346,40","329,12","105,38M","2,44%"
"13.02.2025","355,94","345,00","358,69","342,85","89,44M","5,77%"
"14.02.2025","355,84","360,62","362,00","347,50","68,28M","-0,03%"
"18.02.2025","354,11","355,01","359,10","350,02","51,63M","-0,49%"
"19.02.2025","360,56","354,00","367,34","353,67","67,09M","1,82%"
"20.02.2025","354,40","361,51","362,30","348,00","45,97M","-1,71%"
"21.02.2025","337,80","353,44","354,98","334,42","74,06M","-4,68%"
"24.02.2025","330,53","338,14","342,40","324,70","76,05M","-2,15%"
"25.02.2025","302,80","327,02","328,89","297,25","134,23M","-8,39%"
"26.02.2025","290,80","303,71","309,00","288,04","100,12M","-3,96%"
"27.02.2025","281,95","291,16","297,23","280,88","101,75M","-3,04%"
"28.02.2025","292,98","279,50","293,88","273,60","115,70M","3,91%"
"03.03.2025","284,65","300,34","303,94","277,30","115,55M","-2,84%"
"04.03.2025","272,04","270,93","284,35","261,84","126,71M","-4,43%"
"05.03.2025","279,10","272,92","279,55","267,71","94,04M","2,60%"
"06.03.2025","263,45","272,06","272,65","260,02","98,45M","-5,61%"
"07.03.2025","262,67","259,32","266,25","250,73","102,37M","-0,30%"
"10.03.2025","222,15","252,54","253,37","220,00","189,08M","-15,43%"
"11.03.2025","230,58","225,30","237,06","217,02","174,90M","3,79%"
"12.03.2025","248,09","247,22","251,84","241,10","142,22M","7,59%"
"13.03.2025","240,68","248,13","248,29","232,60","114,81M","-2,99%"
"14.03.2025","249,98","247,31","251,58","240,73","100,24M","3,86%"
